item_id,location_id,name,meal_period,description,tags
233,9,Yogurt Bar,breakfast,"Options of soy yogurt, strawberry soy yogurt, or vanilla soy yogurt",
234,9,Oatmeal Bar,breakfast,oatmeal,
235,9,Yogurt and Oatmeal Bar Topppings,breakfast,"Topping choices of brown sugar, dried apricot, dried cranberries, blueberries, cantaloupe, grapes, pineapple, strawberries, granola, oranges, peaches",
236,9,Spicy Cauliflower Wrap,"lunch, dinner","spicy cauliflower, cucumber, pickled onion, lettuce, tomato, hot sauce, tahini","vegetarian, vegan"
237,9,Falafel Wrap,"lunch, dinner","falafel, slad mix, tahini, tomato, banana pepper","vegetarian, vegan"
238,9,Black Bean Burger,"lunch, dinner","Black Bean Burger, tomato, spicy mayo, hot texas bete, salad mix, pickles",vegetarian
239,9,Avocado Toast,"breakfast, lunch","Avocado Toast with arugula, balsamic dressing, green onions, sliced tomatoes",
240,9,3 Composed Salad,"lunch, dinner","pick 3: Kale salad, sweet potato, chick pea, grape leafs, hummus with pita, spicy hummus with pita, orzo, quinoa",
241,9,Plant Based Chicken Nuggets,"lunch, dinner",Plant based chicken nuggets with bbq or honey mustard and choice of two sides,
242,9,Chickpea Stew,"lunch, dinner","Chickpeas, zuchini, squash, carrots, onion, with choice of two sides",
243,9,Sides,"lunch, dinner","Options of brown rice, white rice, cauliflower, brussel sprouts, chickpeas salad, cilantro hummus with pita, green beans, kale salad, mac and cheese, roasted vegetables, orzo salad, quinoa salad, roasted potato, hummus spicy with pita, stuffed grape leaves, roasted sweet potatoes, sweet potato, beet salad, cauliflower salad, grape leafs, mixed vegetables, spicy hummus with pita, sweet potato salad, potato au gratin",
244,10,Non vegetarian combo,"lunch, dinner","served with 1 protein, 1 vegetable, 1 samosa, rice and naan",
245,10,Protein Options,"lunch, dinner","Options of Beef Aloo, Chicken 65, Chicken Malabar, Chicken Tikka Masala, Fisk Pakoda, Meatball Manchurin",
246,10,Vegetable Options,"lunch, dinner","Options of Beetroot Thoren, Cabbage Poriyal, Chana Masala, Egg Curry, Mix Vegetable, Paneer Mutter, Saag, Tofu Manchurian",
247,10,Vegetarian Combo,"lunch, dinner","served with 3 vegetables, rice and naan",
248,10,Specialty vegetarian combo,"lunch, dinner","served with 2 vegetables, 1 samosa, rice and naan",
249,10,Non-vegetarian combo,"lunch, dinner","served with 2 protein 1 vegetable, rice and naan",
250,10,Chicken Dosa,"lunch, dinner, snack",Savory crepe with Chicken Tikka,
251,10,Masala Dosa,"lunch, dinner, snack",Savory crepe with masala,
252,10,Vegetable Dosa,"lunch, dinner, snack",Savory crepe with mixed vegetables,
253,10,Vegetable Samosa,"lunch, dinner, snack",Triangle pastries stuffed with savored peas and potatoes,
254,10,Gulab Jamun,"snack, dessert","Fried balls of dough dipped in syrup, served warm",
255,10,Mango Lassi,"snack, dessert",Yogurt-based drink with mango,
256,11,Rotating  Menu,lunch,Menu changes monthly; offerings vary and are not fixed,
257,12,Asiago Gnocchi,dinner,"tomato sauce, parmesan, gnocchi",
258,12,Spinach and Artichoke Dip,dinner,Spinach and Artichoke Dip with crostini,
259,12,Burrata,dinner,"heirloom cherry tomatoes , balsamic reduction, grilled bread",
260,12,Calamari,dinner,flash fried - spicy marinara - caper remoulade,
261,12,Shrimp Cocktail,dinner,cocktail sauce - lemon,
262,12,Commons House Salad,dinner,mixed greens - cucumbers - tomatoes - balsamic vinaigrette,
263,12,Classic Caesar,dinner,romaine - croutons - parmesan - Caesar dressing,
264,12,Mussels and Fries,dinner,"Prince Edward Island mussels - white wine, butter, shallots, garlic
grilled bread - house fries",
265,12,Carolina Crab-Cakes,dinner,broccolini-lemon beurre blanc,
266,12,Steak Frites,dinner,herb butter - house fries - petit green salad,
267,12,Stuffed Airline Chicken Breast,dinner,"sundried tomato, goat cheese, spinach
roasted garlic mashed potatoes - broccolini",
268,12,Spinach and Ricotta Ravioli,dinner,spicy tomato broth - basil infused olive oil,
269,12,Seared Atlantic Salmon,dinner,French lentils - lemon beurre blanc,
270,12,Ribeye Steak,dinner,14 ounce - broccolini - garlic mashed potatoes - herb butter,
271,12,Filet Mignon,dinner,8 ounces - broccolini - garlic mashed potatoes - red wine demi-glace,
272,12,Mushroom Bourguignon,dinner,"mushrooms, tomatoes, carrots and leeks braised in red wine - polenta",
273,12,Commons Steak Burger,dinner,"8 ounces house-ground filet and ribeye
aged English cheddar - lettuce - tomato - house fries",
274,13,Chicken Wings,"lunch, dinner","Wings with bbq suace, lemon pepper, duke reaper crazy hot sauce, ranch, sriracha soy glaze, plain, or buffalo sauce",
275,13,Chicken Tenders,"lunch, dinner",Chicken tenders with fries and honey mustard sauce,
276,13,Crispy Vegan Tenders,"lunch, dinner",Crispy Vgean Tenders with fries,"vegetarian, vegan"
277,13,Sweet Potato Fries,"lunch, dinner, snack",Sweet Potato Fries,
278,13,Nachos,"lunch, dinner","Nachos with queso, pico de gallo, pickled jalapenos, lettuce & side of sour cream",
279,13,Kruggets and fries,"lunch, dinner",Chicken chunks with fries and choice of sauce,
280,13,Mac and Cheese bites,"lunch, dinner",Mac and Cheese bites with choice of sauce,
281,13,Fish & Fries,"lunch, dinner",Fish & Fries,
282,13,Fried Cheese Curds,"lunch, dinner, snack",Fried Cheese Curds with a side of cajun remoulade,
283,13,Fried Pickle Fries,"lunch, dinner, snack",Fried Pickle Fries with remoulade,
284,13,Onion Rings,"lunch, dinner, snack",Onion Rings with remoulade,
285,13,Pretzels with beer cheese and mustard,"lunch, dinner, snack",Pretzel with beer cheese and mustard,
286,13,Ginger Grilled Salmon Salad,"lunch, dinner","Ginger Grilled Salmon Salad with avocado, red onion, carrot, cucmber, roasted corn & ginger dressing",
287,13,Caribbean Fish Salad,"lunch, dinner","Caribbean Fish Salad with seasoned mahi mahi, romaine lettuce, fried plantains, pico de gallo, black beans, avocado, & cilantro citrus dressing",
288,13,Fried Chicken Salad,"lunch, dinner","Fried Chicken Salad with black beans, tomato, red onion, carrot & honey mustard dressing",
289,13,Mixed Arugula Salad,"lunch, dinner","Mixed Arugula Salad with fresh berries, red onion, carrot, cucumbers, strawberry vinaigrette dressing",
290,13,Buffalo Bacon Ranch Bowl,"lunch, dinner","Diced chicken tenders tossed in buffalo sauce, fresh cut fries, chopped romaine, tomato, smoked bacon monterey jack cheese, and a side of ranch",
291,13,Southwest Chicken Cobb Salad,"lunch, dinner","Southwest Chicken Cobb Salad with black beans, roasted corn, pico de gallo, avocado, shredded monterey jack cheese, fried egg & cilantro citrus dressing",
292,13,Grilled Chicken and Goat Cheese Salad,"lunch, dinner","Grilled Chicken and Goat cheese salad with arugula, pickled onion, cucumber, carrot, and strawberry vinaigrette dressing",
293,13,Buffalo Chicken Tender Sandwich,"lunch, dinner","Buffalo Chicken Tender Sandwich with cheddar cheese, lettuce, and house made chips",
294,13,Flame Grilled Chicken Sandwich,"lunch, dinner","Flame Grilled Chicken Sandwich with Avocado, swiss, lettuce, tomato, and housemade chips",
295,13,Flank Steak French Dip,"lunch, dinner",Flank Steak French Dip with provolone and fresh cut fries,
296,13,Grilled Mahi Mahi Wrap,"lunch, dinner","Grilled Mahi Mahi Wrap with romaine lettuce, tomato, and sriracha remoulade, with fried plantains and house made chips on the side",
297,13,Turkey and Havarti Sandwich,"lunch, dinner","Turkey and Havarti Sandwich with arugula, tomato, garlic aioli and house chips",
298,13,DKH Quesadilla,"lunch, dinner","Chicken Quesadilla with monterey jack cheese, red peppers, onion, pico de gallo, and sour cream",
299,13,BBQ Chicken Sandwich,"lunch, dinner","Grilled Chicken tossed in BBQ sauce with cheddar cheese, lettuce, tomato, and hosue made chips",
300,13,Grilled Cheese,"lunch, dinner",Grilled Cheese,
301,13,Ginger Salmon Wrap,"lunch, dinner","Ginger Salmon Wrap on a tomato tortilla with romaine ginger dressing, cucumbre, carrots, avocado",
302,13,Steak Wrap,"lunch, dinner","Steak Wrap on a tomato tortilla with onions, mushrooms, red peppers, shredded cheese, and garlic aioli",
303,13,Build Your own burger,"lunch, dinner",Build Your own burger,
304,13,Brie and Bacon Jam burger,"lunch, dinner","Fresh Angus burger, brie, house made bacon ham, arugula, tomato, and fresh cut fries",
305,13,Devils Krafthouse Burger,"lunch, dinner","Fresh Angus burger, sharp cheddar cheese, garlic aioli, romaine, tomato, pickles and fresh cut fries",
306,13,Impossible Burger,"lunch, dinner","Impossible Burger with DIYA Cheese, Romaine, Tomato & Fresh Cut Fries",
307,13,Mushroom and Swiss Burger,"lunch, dinner","Mushroom and Herb goat cheese burger with fresh angus burger, sauteed mushrooms, grilled onions, herb goat cheese, lettuce, tomato and fresh cut fries",
308,13,Brecky Burger,"lunch, dinner","Angus burger with bacon, fried egg, american cheese and fresh cut fries",
309,13,Queso Burger,"lunch, dinner","Angus burger with queso, jalapeno, lettuce and fresh cut fries",
310,13,Dilly Burger,"lunch, dinner","Angus burger with dill pickles, ranch, mayo and fresh cut fries",
311,13,Turkey Burger,"lunch, dinner","Turkey Burger with pepper jack cheese, lettuce, avocado, and pico de gallo",
312,13,Chicken Wrap,"lunch, dinner","Chicken Tender wrap with lettuce, tomato, choice of ranch or honey mustard, and fries",
313,13,Sundaes,dessert,"Flavor Options: Cappucino Chip, Oreo, Oreo Mint, Strawberry, Strawberry Chip, Triple Chocolate",
314,13,Milkshake,dessert,"Flavor Options: Cappucino Chip, Oreo, Oreo Mint, Strawberry, Strawberry Chip, Triple Chocolate",
315,13,"Bacon, Egg, and Cheese Bagel",breakfast,"Bacon, Egg, and Cheese Bagel",
316,13,Breakfast Potato Bowl,breakfast,"Breakfast Potato Bowl with scrambled eggs, potatoes, bacon, monterey jack cheddar cheese, spinach",
317,13,Breakfast Potatoes,breakfast,Breakfast Potatoes,
318,13,Egg and Cheese Sandwich,breakfast,Egg and Cheese Sandwich,
319,13,Southwest Wrap,breakfast,"Scrambled eggs, tortilla, black beans, monterrey jack cheddar cheese blend, pico de gallo, cilantro, red onion, lime juice, garlic",
320,13,Turkey Sausage Egg Bagel,breakfast,Turkey Sausage Egg Bagel,
321,13,Vegetable Goat Cheese Bowl,breakfast,"Scrambled eggs, potatoes, cheese crumble, mushroom, red onion, red pepper, spinach",
322,13,Southwest Breakfast Bowl,breakfast,"breakfast potatoes, scrambled eggs, bacon, pico de gallo",
323,14,Lamb Gyro,"lunch, dinner","Beef and lamb, pita, tzatziki, tomato, greens",
324,14,Turkey Swiss Avocado,"lunch, dinner","Turkey, avocado, greens, tomatoes, peppercorn dressing",
325,14,Chicken Shawarma,"lunch, dinner","Chicken, pickles, garlic aioli",
326,14,Chicken Caesar Wrap,"lunch, dinner","chicken, romaine lettuce, caesar dressing, parmesan cheese",
327,14,Brautwurst,"lunch, dinner","Brautwurst on a hoagie with sauerkraut, onions, peppers, and mustard",
328,14,Salmon Burger,"lunch, dinner","Salmon patty, arugula, tomatoes, caramelized onions, horseradish aioli",
329,14,Tangy Bourbon Chicken,"lunch, dinner", Tangy Bourbon Chicken with roasted sweet potatoes and green beans,
330,14,Honey Garlic Chicken,"lunch, dinner",Honey Garlic Chicken with choice of two sides,
331,14,Bourbon Garlic Chicken,"lunch, dinner",Bourbon Garlic Chicken with choice of two sides,
332,14,Brautwurst,"lunch, dinner",Brautwurst with choice of two sides,
333,14,Atlantic Salmon Filets,"lunch, dinner",Atlantic Salmon Filets with choice of two sides,
334,14,Gyro,"lunch, dinner",Gyro with choice of two sides,
335,14,Smoked Beef Brisket,"lunch, dinner",Smoked Beef Brisket with choice of two sides,
336,14,Roasted Turkey,"lunch, dinner",Roasted Turkey with choice of two sides,
337,14,Sides,"lunch, dinner","Options of brown rice, white rice, cauliflower, brussel sprouts, chickpeas salad, cilantro hummus with pita, green beans, kale salad, mac and cheese, roasted vegetables, orzo salad, quinoa salad, roasted potato, hummus spicy with pita, stuffed grape leaves, roasted sweet potatoes, sweet potato, beet salad, cauliflower salad, grape leafs, mixed vegetables, spicy hummus with pita, sweet potato salad, potato au gratin",
338,15,Beef Brisket Sandwich Combo,"lunch, dinner",Beef Brisket Sandwich with side of succotash,
339,15,Sauteed Catfish Combo,"lunch, dinner","Sauteed Catfish with diced potatoes, bacon colalrd greens and hushpuppies",
340,15,Vegetarian Omelet Combo,breakfast,"mushrooms, peppers, onions, arugula, goat cheese and vegetatian sausage with a side of wheat toast and fruit",vegetarian
341,15,Pulled Pork Sandwich,"lunch, dinner","NC style bbq, coleslaw, vinegar or sweet smoky bbq sauce",
342,15,Shrimp Po Boy,"lunch, dinner","Fried shrimp dressed with lettuce, tomato, pickles and mayo",
343,15,Big Country Fried Chicken Sandwich,"lunch, dinner","Fried chicken breast, mayo, and pickles. Choice of one side",
344,15,BLT,"lunch, dinner","2 over easy eggs, bacon, lettuce, tomato, and mayo with choice of one side",
345,15,Smoked Beef Brisket Sandwich,"lunch, dinner",Smoked for 12 hours southern style with sweet smoky sauce with one side,
346,15,3 sides platter,"lunch, dinner",choice of 3 sides,
347,15,Fried Chicken Tenders,"lunch, dinner","Fried Chicken southern style with choice of two sides, sauce and choice of biscuit or hush puppies",
348,15,Traditional NC style BBQ,"lunch, dinner", Traditional NC style BBQ with choice of 2 sides and hush puppies,
349,15,Homestyle Meatloaf,"lunch, dinner",Homestyle Meatloaf with choice of 2 sides and hush puppies,
350,15,Pulled Pork and Tenders,"lunch, dinner",Pulled boston butt with choice of 2 sides and hush puppies,
351,15,Catfish Platter,"lunch, dinner","Choice of blackened, sauteed, or  breaded. Served with remoulade. Comes with choice of 2 sides. Serve with tarter sauce",
352,15,Smoked Beef Brisket,"lunch, dinner",Smoked for 12 hours southern style with sweet smoky sauce with choice of 2 sides and 2 hushpuppies,
353,15,Fried Chicken,"lunch, dinner",2 or 3 pieces with choice of 2 sides and choice of biscuit or hushpuppies,
354,15,Shrimp and Grits,"lunch, dinner","Grits topped with bacons, onions, tomato and mushrooms",
355,15,Sides,"lunch, dinner","Options ofbanana, orange, apple, fruit salad, bacon collard greens, country green beans, mashed potatoes, pinto beans, succotash, vanilla greek yogurt, watermelon salad, griddled squash and onions, cole slaw, mixed fruit, seasoned diced potato, mac and cheese, sourdough or wheat toast, brioche roll, biscuit plain, 2 eggs any style",
356,15,French Toast,breakfast,"3 slices of sourdouch bread, powdered sugar, berries, maple syrup, and one side",
357,15,Fast lane Blue Plate Eggs Your Way,breakfast,Two Eggs your way with two sides and biscuit or toast,
358,15,Build Your Own Omelet,breakfast,Build Your Own Omelet with one side and choice of toast,
359,15,Biscuits and Gravy,breakfast,"Two biscuits, thyme, sausage and gravy with one side",
360,15,Chicken and Waffles,breakfast,Served with honey drizzle and a breakfast side,
361,15,Pancake Breakfast,breakfast,Served with 2 scrambled eggs and choice of ham/sausage/bacn/vegetable sausage/turkey sausage,
362,15,Biscuit,breakfast,"Options include plain, with egg and cheese, with protein, with egg cheese and protein",
363,15,Apple Cobbler,dessert,Apple Cobbler,
364,15,Banana Pudding,dessert,Banana Pudding,
365,16,Cheese Pizza,"lunch, dinner",Cheese Pizza,
366,16,Meat Pizza,"lunch, dinner",Choice of buffalo chicken or pepperoni,
367,16,Stinger Pizza,"lunch, dinner","Pepperoni, Bacon, Jalapenos, grated romano, mozzarella, hot honey, and red sauce base",
368,16,Chicken Pesto Pizza,"lunch, dinner","Chicken, roasted red peppers, red onion, ricotta, basil pesto",
369,16,Breadstick,"lunch, dinner",Breadstick,
370,16,Buffalo Chicken Pizza,"lunch, dinner","Buffa lChicken, mild wing sauce, mozzarella, ranch",
371,16,Harvest Pizza,"lunch, dinner","Bruschetta, tomatoes, mushrooms, red onions, sweet peppers, fresh basil, mozzarella, red sauce",
372,16,Kyles Pizza,"lunch, dinner","Chicken, bacon, bbq sauce, mozzarella, and ranch",
373,16,Margherita Pizza,"lunch, dinner","Mozzarella, basil, romano, red sauce",
374,16,Pjs New Yorker Pizza,"lunch, dinner","Pepperoni, sausage, mushrooms, red onions, sweet peppers, mozzarella, and red sauce",
375,16,Rustic Pizza,"lunch, dinner","Pepperoni, sausage, caramelized onion, red peppers, fresh pasil, mozzarella, red sauce",
376,16,Vegan Pizza,"lunch, dinner","Neapolitan sauce, vegan cheese","vegetarian, vegan"
377,16,Heritage Honey Pizza,"lunch, dinner","Pepperoni, sausage, ricotta, mozzarella, hot honey, fresh basil, romano, red sauce",
378,16,Blaise Pizza,"lunch, dinner","Sausage, bacon, mushrooms, caramelized onion, spinach, ricotta, hot honey, mozzarella",
379,16,Bruschetta Pizza,"lunch, dinner","fior di latte mozzarella, bruschetta, tomatoes, arugula, romano, balsamic glaze, basil, pesto base",vegetarian
380,16,Quattro Pizza,"lunch, dinner","sausage, meatballs, pepperoni, bacon, red sauce",
381,16,Blackened Shrimp Scampi,"lunch, dinner","blackened shrimp, lemon garlic olive oil, spaghetti, roasted red peppers, fresh basil, romano",
382,16,Veggie Pasta,"lunch, dinner","Choice of sauce (alfredo, arrabiata, parma rosa, pesto basil pomodoro) and Veggies (baby spinach, mushrooms, roasted red peppers, roasted tomatoes, sauteed onions, sweet peppers)",
383,16,Pasta and Sauce Only,"lunch, dinner","Choice of sauce (alfredo, arrabiata, parma rosa, pesto basil pomodoro)",
384,16,Custom Pasta,"lunch, dinner",Custom Pasta,
385,16,Chicken Alfredo pasta,"lunch, dinner","Grilled chicken, parmesan alfredo sauce, fettucinni, spinach, mushrooms, romano",
386,16,Garden Pesto pasta,"lunch, dinner","pesto, fettucine, spinach, tomatoes, mushrooms, red peppers, basil, romano",
387,16,Salmon Alfredo Pasta,"lunch, dinner","Baked salmon, parmesan alfredo, fettucini, spinach, lemon, romano",
388,16,Meatballs & Spaghetti,"lunch, dinner","Meatball, pomodoro sauce, spaghetti, romano",
389,16,Braised Beef Pasta,"lunch, dinner","Braised beef, casarecce, alfredo sauce, tomtoes, romano",
390,16,Chicken Basil Pesto Pasta,"lunch, dinner","Grilled Chicken, basil pesto sauce, roasted grape tomatoes, casarecce pasta, red peppers, romano",
391,16,Parma Rosa Pasta,"lunch, dinner","Grilled Chicken, Parma Rosa Sauce, Spinach, Peppers and Onions, Fettucinin, Romano",
392,16,Spicy Il Forno,"lunch, dinner","Fennel Sausage, Spicy Arrabbiata Sauce, Peppers and Onions, Rigatoni, Green Onions, Roasted Tomatoes, Romano",
393,16,Iced Brownie,dessert,Iced Brownie,
394,16,Chocolate Chip Cookie,dessert,Chocolate Chip Cookie,
