item_id,location_id,item_name,meal_period,item_description,generated_tags,all_tags,loc_name,campus,location,hours,cuisine,loc_description,tags,document
106,4,Tonkotsu Ramen,"lunch, dinner","Tonkotsu soup ramen with bamboo shoots, bean sprouts, pork belly or fried tofu, green onion, marinated egg, and corn","dinner,comfort_food,high_protein","comfort_food, dinner, high_protein",Ginger + Soy,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Tastes from all over East and Southeast Asia, Ginger+ Soy is your passport to huge flavor. The menu, loaded with authentic recipes, has been crafted by skilled chefs. Take your choice from a huge selection of fine ingredients, then enjoy the sounds, sights and aromas as your meal is stir fried to perfection on the spot.","asian,stir-fry,lunch,dinner,bowls,flavorful","Tonkotsu Ramen. Available at Ginger + Soy (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Tonkotsu soup ramen with bamboo shoots, bean sprouts, pork belly or fried tofu, green onion, marinated egg, and corn. Item tags: comfort_food, dinner, high_protein. Venue tags: asian,stir-fry,lunch,dinner,bowls,flavorful. "
107,4,Beef Dumplings,"lunch, dinner, snack",Beef dumplings with kimchi slaw,"dinner,lunch,comfort_food,spicy","comfort_food, dinner, lunch, spicy",Ginger + Soy,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Tastes from all over East and Southeast Asia, Ginger+ Soy is your passport to huge flavor. The menu, loaded with authentic recipes, has been crafted by skilled chefs. Take your choice from a huge selection of fine ingredients, then enjoy the sounds, sights and aromas as your meal is stir fried to perfection on the spot.","asian,stir-fry,lunch,dinner,bowls,flavorful","Beef Dumplings. Available at Ginger + Soy (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. Beef dumplings with kimchi slaw. Item tags: comfort_food, dinner, lunch, spicy. Venue tags: asian,stir-fry,lunch,dinner,bowls,flavorful. "
108,4,Vegetable Dumplings,"lunch, dinner, snack",Vegetable Dumplings with kimchi slaw,"vegetarian,comfort_food,lunch","comfort_food, lunch, vegetarian",Ginger + Soy,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Tastes from all over East and Southeast Asia, Ginger+ Soy is your passport to huge flavor. The menu, loaded with authentic recipes, has been crafted by skilled chefs. Take your choice from a huge selection of fine ingredients, then enjoy the sounds, sights and aromas as your meal is stir fried to perfection on the spot.","asian,stir-fry,lunch,dinner,bowls,flavorful","Vegetable Dumplings. Available at Ginger + Soy (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. Vegetable Dumplings with kimchi slaw. Item tags: comfort_food, lunch, vegetarian. Venue tags: asian,stir-fry,lunch,dinner,bowls,flavorful. "
109,4,Chicken Dumplings,"lunch, dinner, snack",Chicken Dumplings with kimchi slaw,"dinner,lunch,comfort_food,spicy","comfort_food, dinner, lunch, spicy",Ginger + Soy,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Tastes from all over East and Southeast Asia, Ginger+ Soy is your passport to huge flavor. The menu, loaded with authentic recipes, has been crafted by skilled chefs. Take your choice from a huge selection of fine ingredients, then enjoy the sounds, sights and aromas as your meal is stir fried to perfection on the spot.","asian,stir-fry,lunch,dinner,bowls,flavorful","Chicken Dumplings. Available at Ginger + Soy (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. Chicken Dumplings with kimchi slaw. Item tags: comfort_food, dinner, lunch, spicy. Venue tags: asian,stir-fry,lunch,dinner,bowls,flavorful. "
110,4,Vegetable spring rolls,"lunch, dinner, snack",Vegetable spring rolls,"vegetarian,quick,snack","quick, snack, vegetarian",Ginger + Soy,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Tastes from all over East and Southeast Asia, Ginger+ Soy is your passport to huge flavor. The menu, loaded with authentic recipes, has been crafted by skilled chefs. Take your choice from a huge selection of fine ingredients, then enjoy the sounds, sights and aromas as your meal is stir fried to perfection on the spot.","asian,stir-fry,lunch,dinner,bowls,flavorful","Vegetable spring rolls. Available at Ginger + Soy (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. Vegetable spring rolls. Item tags: quick, snack, vegetarian. Venue tags: asian,stir-fry,lunch,dinner,bowls,flavorful. "
111,5,Nigiri and Sashimi,"lunch, dinner, snack","Options: eel, salmon, shrimp, tuna, yellowtail","dinner,high_protein","dinner, high_protein",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Nigiri and Sashimi. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. Options: eel, salmon, shrimp, tuna, yellowtail. Item tags: dinner, high_protein. Venue tags: asian,sushi,lunch,dinner. "
112,5,Sashimi bowl,"lunch, dinner","Choice of sashimi with rice or salad base and topped with red pepper, edamame, pickles, cucumber, crab salad. Options for eel sauce, spicy mayo, ginger dressing, wasabi dressing or gochujang sauce","lunch,dinner,high_protein,spicy","dinner, high_protein, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Sashimi bowl. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Choice of sashimi with rice or salad base and topped with red pepper, edamame, pickles, cucumber, crab salad. Options for eel sauce, spicy mayo, ginger dressing, wasabi dressing or gochujang sauce. Item tags: dinner, high_protein, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
113,5,Edamame,"lunch, dinner, snack",edamame,"vegetarian,high_protein,healthy,snack","healthy, high_protein, snack, vegetarian",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Edamame. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. edamame. Item tags: healthy, high_protein, snack, vegetarian. Venue tags: asian,sushi,lunch,dinner. "
114,5,Miso soup,"lunch, dinner, snack",Miso Soup,"vegetarian,healthy,dinner","dinner, healthy, vegetarian",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Miso soup. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. Miso Soup. Item tags: dinner, healthy, vegetarian. Venue tags: asian,sushi,lunch,dinner. "
115,5,Salmon Tower,"lunch, dinner","salmon with sushi rice, avocado, crab salad, and cucumber. Topped with white sauce, spicy mayo, eel sauce, masago, scallions, cilantro, and sesame seeds. Served with chips","dinner,spicy","dinner, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Salmon Tower. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. salmon with sushi rice, avocado, crab salad, and cucumber. Topped with white sauce, spicy mayo, eel sauce, masago, scallions, cilantro, and sesame seeds. Served with chips. Item tags: dinner, spicy. Venue tags: asian,sushi,lunch,dinner. "
116,5,Seaweed salad,"lunch, dinner, snack",seaweed salad,"vegetarian,healthy,quick","healthy, quick, vegetarian",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Seaweed salad. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner, snack. seaweed salad. Item tags: healthy, quick, vegetarian. Venue tags: asian,sushi,lunch,dinner. "
117,5,Tuna Tower,"lunch, dinner","tuna with sushi rice, avocado, crab salad, and cucumber. Topped with white sauce, spicy mayo, eel sauce, masago, scallions, cilantro, and sesame seeds. Served with chips","dinner,spicy,lunch","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Tuna Tower. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. tuna with sushi rice, avocado, crab salad, and cucumber. Topped with white sauce, spicy mayo, eel sauce, masago, scallions, cilantro, and sesame seeds. Served with chips. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
118,5,Make your own sushi,"lunch, dinner","Options: eel, salmon, shrimp, tuna, yellowtail, spicy tuna, tempura shrimp, crab salad, cucumber. Sauces: eel, spicy mayo, gocujang, sriracha","lunch,dinner,spicy","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Make your own sushi. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Options: eel, salmon, shrimp, tuna, yellowtail, spicy tuna, tempura shrimp, crab salad, cucumber. Sauces: eel, spicy mayo, gocujang, sriracha. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
119,5,Atlantic,"lunch, dinner","Sushi burrito with salmon, avocado, cucumber, lettuce, slaw, masago, crunch, and spicy mayo","lunch,dinner,spicy,gluten","dinner, gluten, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Atlantic. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi burrito with salmon, avocado, cucumber, lettuce, slaw, masago, crunch, and spicy mayo. Item tags: dinner, gluten, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
120,5,Pacific,"lunch, dinner","Sushi burrito with tuna, kale, cucumber, lettuce, cilantro, masago, crunch, and eel sauce","lunch,dinner,high_protein","dinner, high_protein, lunch",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Pacific. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi burrito with tuna, kale, cucumber, lettuce, cilantro, masago, crunch, and eel sauce. Item tags: dinner, high_protein, lunch. Venue tags: asian,sushi,lunch,dinner. "
121,5,Arctic,"lunch, dinner","Sushi burrito with spicy tubna, crab salad, cucumber, lettuce, avocado, masago and sriracha","lunch,spicy,dinner","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Arctic. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi burrito with spicy tubna, crab salad, cucumber, lettuce, avocado, masago and sriracha. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
122,5,Southern,"lunch, dinner","Sushi burrito with shrimp tempura, avocado, cucumber, lettuce, slaw, masago, crab salad, crunch, eel sauce, and spicy mayo","dinner,lunch,spicy","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Southern. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi burrito with shrimp tempura, avocado, cucumber, lettuce, slaw, masago, crab salad, crunch, eel sauce, and spicy mayo. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
123,5,Blossom Roll,"lunch, dinner","Sushi roll with spicy tuna, crab salad, cucumber, seared salmon, crispy onion, white sauce, and eel sauce","dinner,spicy,lunch","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Blossom Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with spicy tuna, crab salad, cucumber, seared salmon, crispy onion, white sauce, and eel sauce. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
124,5,Coco Roll,"lunch, dinner","Sushi roll with spicy tuna, cucmber, crab salad, seaweed salad, and white sauce","dinner,lunch,spicy","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Coco Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with spicy tuna, cucmber, crab salad, seaweed salad, and white sauce. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
125,5,Fire Cracker Roll,"lunch, dinner","Sushi roll with shrimp tempura, pickled jalapeno, cucmber, seared tuna, black rice, crunch, and soy garlic mayo","dinner,spicy,fried","dinner, fried, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Fire Cracker Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with shrimp tempura, pickled jalapeno, cucmber, seared tuna, black rice, crunch, and soy garlic mayo. Item tags: dinner, fried, spicy. Venue tags: asian,sushi,lunch,dinner. "
126,5,Mary Roll,"lunch, dinner","Sushi roll with crab salad, avocado, cucumber, spicy tuna, scallion, masago, and spicy mayo","lunch,dinner,spicy","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Mary Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with crab salad, avocado, cucumber, spicy tuna, scallion, masago, and spicy mayo. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
127,5,Nigiri Combo,"lunch, dinner","tuna, salmon, yellowtail nigiri","high_protein,dinner","dinner, high_protein",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Nigiri Combo. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. tuna, salmon, yellowtail nigiri. Item tags: dinner, high_protein. Venue tags: asian,sushi,lunch,dinner. "
128,5,White Tiger Roll,"lunch, dinner","Sushi roll with shrimp tempura, spicy tuba, crab salad, spicy mayo, and eel sauce","dinner,spicy,fried","dinner, fried, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","White Tiger Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with shrimp tempura, spicy tuba, crab salad, spicy mayo, and eel sauce. Item tags: dinner, fried, spicy. Venue tags: asian,sushi,lunch,dinner. "
129,5,California Roll,"lunch, dinner","Sushi roll with crab salad, avocado, cucumber, sesame seeds","lunch,dinner,healthy","dinner, healthy, lunch",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","California Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with crab salad, avocado, cucumber, sesame seeds. Item tags: dinner, healthy, lunch. Venue tags: asian,sushi,lunch,dinner. "
130,5,Veggie Roll,"lunch, dinner","Sushi roll with avocado, cucumber, picked carrot, and sesame seed","vegetarian,healthy,lunch","healthy, lunch, vegetarian",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Veggie Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with avocado, cucumber, picked carrot, and sesame seed. Item tags: healthy, lunch, vegetarian. Venue tags: asian,sushi,lunch,dinner. "
131,5,Salmon Avocado Roll,"lunch, dinner","Sushi roll with salmon, avocado, and sesame seed","dinner,lunch,healthy","dinner, healthy, lunch",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Salmon Avocado Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with salmon, avocado, and sesame seed. Item tags: dinner, healthy, lunch. Venue tags: asian,sushi,lunch,dinner. "
132,5,Salmon Crunch Roll,"lunch, dinner","Sushi roll with salmon, avocado, cream cheese, crunch and eel sauce","dinner,gluten,high_protein","dinner, gluten, high_protein",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Salmon Crunch Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with salmon, avocado, cream cheese, crunch and eel sauce. Item tags: dinner, gluten, high_protein. Venue tags: asian,sushi,lunch,dinner. "
133,5,Spicy Tuna Roll,"lunch, dinner","Sushi roll with spicy tuna, cucumber, sesame seed, and spicy mayo","lunch,dinner,spicy","dinner, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Spicy Tuna Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with spicy tuna, cucumber, sesame seed, and spicy mayo. Item tags: dinner, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
134,5,Dancing Eel Roll,"lunch, dinner","Sushi roll with crab salad, cucumber, avocado, eel, and eel sauce","dinner,lunch,comfort_food","comfort_food, dinner, lunch",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Dancing Eel Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with crab salad, cucumber, avocado, eel, and eel sauce. Item tags: comfort_food, dinner, lunch. Venue tags: asian,sushi,lunch,dinner. "
135,5,Rainbow Roll,"lunch, dinner","Sushi roll with crab salad, cucumber, avocado, tuna, salmon, and yellowtail","dinner,comfort_food,high_protein","comfort_food, dinner, high_protein",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Rainbow Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with crab salad, cucumber, avocado, tuna, salmon, and yellowtail. Item tags: comfort_food, dinner, high_protein. Venue tags: asian,sushi,lunch,dinner. "
136,5,Shrimp Tempura Roll,"lunch, dinner","Sushi roll with shrimp tempura, crab salad, cucumber, avocado, spicy mayo, eel-sauce, and crispy onion","dinner,fried,comfort_food,spicy,lunch","comfort_food, dinner, fried, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Shrimp Tempura Roll. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Sushi roll with shrimp tempura, crab salad, cucumber, avocado, spicy mayo, eel-sauce, and crispy onion. Item tags: comfort_food, dinner, fried, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
137,5,Shrimp Tempura Yubu,"lunch, dinner","Fried tofu, fried shrimp, crispy onion, green onion, masago, ginger and eel sauce","fried,dinner,comfort_food","comfort_food, dinner, fried",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Shrimp Tempura Yubu. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. Fried tofu, fried shrimp, crispy onion, green onion, masago, ginger and eel sauce. Item tags: comfort_food, dinner, fried. Venue tags: asian,sushi,lunch,dinner. "
138,5,Salmon yubu,"lunch, dinner","fried tofu, salmon, crispy onion, and spicy mayo","fried,comfort_food,lunch,dinner,spicy","comfort_food, dinner, fried, lunch, spicy",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Salmon yubu. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. fried tofu, salmon, crispy onion, and spicy mayo. Item tags: comfort_food, dinner, fried, lunch, spicy. Venue tags: asian,sushi,lunch,dinner. "
139,5,Seaweed salad,"lunch, dinner",fried tofu and seaweed salad,"vegetarian,healthy,quick","healthy, quick, vegetarian",Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian,sushi,lunch,dinner","Seaweed salad. Available at Gyotaku (asian cuisine) in Broadhead Center on West Campus campus. Hours: 11 am - 9 pm (mon - sun). Served during: lunch, dinner. fried tofu and seaweed salad. Item tags: healthy, quick, vegetarian. Venue tags: asian,sushi,lunch,dinner. "
